part,trial,resp,rt,rtlog,prime,lang,mis
L10,20,j,1.02157389995409,0.021344477205143,a_unrel,vieras,labra
L10,25,j,0.75489139999263,-0.281181381148595,a_unrel,vieras,labra
L10,31,j,0.737683699990157,-0.304240137052197,a_unrel,vieras,labra
L10,33,j,0.887265200028196,-0.119611355984134,a_unrel,vieras,labra
L10,35,j,0.678877600003034,-0.387314432764406,a_unrel,vieras,labra
L10,40,j,0.677233800000977,-0.389738718567365,a_unrel,vieras,labra
L10,42,j,0.716504099953454,-0.333371309534254,a_unrel,vieras,labra
L10,44,j,0.640823299996555,-0.4450015230954,a_unrel,vieras,labra
L10,51,j,0.96132340002805,-0.039444402140626,a_unrel,vieras,labra
L10,53,j,0.903585499967448,-0.101384541476485,a_unrel,vieras,labra
L10,60,j,0.876545300008729,-0.131766893116966,a_unrel,vieras,labra
L10,75,j,0.937862700026017,-0.064151715928601,a_unrel,vieras,labra
L10,163,j,0.901495300000533,-0.103700449884765,a_unrel,vieras,labra
L10,214,j,0.936484100006055,-0.065622735345642,a_unrel,vieras,labra
L10,129,j,0.938364500005264,-0.063616812702379,a_unrel,vieras,labra
L10,135,j,1.04144320002524,0.040607443530068,a_unrel,vieras,labra
L10,137,j,0.925710800045636,-0.07719340408102,a_unrel,vieras,labra
L10,159,j,0.842617799993604,-0.171241804578933,a_unrel,vieras,labra
L10,156,j,0.821832399989944,-0.196218797671224,a_unrel,vieras,labra
L10,162,j,0.70798270002706,-0.345335620576985,a_unrel,vieras,labra
L10,131,j,0.876389399985783,-0.131944766284012,a_unrel,vieras,labra
L11,109,j,0.436979999998584,-0.827867851527499,a_unrel,vieras,labra
L11,124,j,0.677269799998612,-0.389685562565943,a_unrel,vieras,labra
L11,91,j,0.477791299999808,-0.738581252712026,a_unrel,vieras,labra
L11,119,j,0.494524400000955,-0.704158786364278,a_unrel,vieras,labra
L11,165,j,0.344281300000148,-1.06629622321128,a_unrel,vieras,labra
L11,203,j,0.518630100001246,-0.656564366680187,a_unrel,vieras,labra
L11,173,j,0.541538800000126,-0.613340562291548,a_unrel,vieras,labra
L11,176,j,0.690635400000247,-0.370143235565515,a_unrel,vieras,labra
L11,184,j,0.54840460000014,-0.600741943290973,a_unrel,vieras,labra
L11,192,j,0.337454500000604,-1.08632459257091,a_unrel,vieras,labra
L11,187,j,0.90801780000038,-0.096491297048343,a_unrel,vieras,labra
L11,171,j,0.513480499999787,-0.66654322501854,a_unrel,vieras,labra
